Study,Topic,Party,N,Estimator,estimate,std.error,conf.low,conf.high
1,Blocked whistleblower,Democrat,103,Experiment,-0.9468412942989213,0.3305629070425663,-1.5965209496713082,-0.30801209372638017
1,Blocked whistleblower,Democrat,103,Guess,-0.883495145631068,0.1819737441954449,-1.242718446601942,-0.5339805825242716
1,Blocked whistleblower,Democrat,103,Difference,-0.06334614866785326,0.28020988303482225,-0.6144932164730101,0.47791944120222934
1,Blocked whistleblower,Republican,73,Experiment,-0.37019969278033793,0.40393723242881924,-1.1492073412698411,0.4324509291900594
1,Blocked whistleblower,Republican,73,Guess,-0.30136986301369845,0.17708908904224174,-0.6438356164383562,0.05479452054794502
1,Blocked whistleblower,Republican,73,Difference,-0.06882982976663948,0.3323086120675085,-0.733613262171989,0.5789343910014844
1,Death penalty,Democrat,103,Experiment,0.85297595585337,0.38164840870729866,0.10683638443935933,1.5920464716464795
1,Death penalty,Democrat,103,Guess,0.05882352941176477,0.09278530257678533,-0.12121212121212127,0.24271844660194175
1,Death penalty,Democrat,103,Difference,0.7941524264416053,0.3757872758489498,0.062445920392480626,1.524520308123249
1,Death penalty,Republican,73,Experiment,-0.31549960660896925,0.3932565183132258,-1.1003634591044371,0.44286430960344014
1,Death penalty,Republican,73,Guess,-0.22222222222222215,0.127524525039687,-0.49295774647887336,0.013698630136986247
1,Death penalty,Republican,73,Difference,-0.0932773843867471,0.37853047737235196,-0.8476041355668018,0.6322844422421373
1,Disputed accusation,Democrat,103,Experiment,0.02080123266563927,0.3135756952134356,-0.5845820811460362,0.6363731060606058
1,Disputed accusation,Democrat,103,Guess,-0.4854368932038833,0.11013416491081655,-0.7087378640776698,-0.28155339805825247
1,Disputed accusation,Democrat,103,Difference,0.5062381258695225,0.2975100518213694,-0.07080616631765947,1.0885228085339718
1,Disputed accusation,Republican,73,Experiment,-2.0130568356374807,0.32311820090381427,-2.6425331170826243,-1.3829698040996368
1,Disputed accusation,Republican,73,Guess,-1.0684931506849318,0.1700759514495712,-1.4109589041095891,-0.7397260273972602
1,Disputed accusation,Republican,73,Difference,-0.9445636849525489,0.30681063038352746,-1.5467784831889637,-0.3520169515180145
1,Endorsed Trump,Democrat,103,Experiment,-0.41024653312788883,0.3831467117049622,-1.153260514629049,0.34593154440654517
1,Endorsed Trump,Democrat,103,Guess,-0.8834951456310679,0.16048832943521363,-1.2038834951456312,-0.5728155339805824
1,Endorsed Trump,Democrat,103,Difference,0.47324861250317907,0.3393408709533727,-0.189666534529673,1.140458349876729
1,Endorsed Trump,Republican,73,Experiment,-0.9662058371735789,0.2550040126679684,-1.4740936968235958,-0.4748414513162988
1,Endorsed Trump,Republican,73,Guess,-0.08219178082191775,0.11999459879414369,-0.31506849315068497,0.15068493150684925
1,Endorsed Trump,Republican,73,Difference,-0.8840140563516612,0.2552670683034841,-1.395855175709374,-0.38956019198504194
1,Immigration,Democrat,103,Experiment,-0.5029562475364608,0.3308240093393166,-1.1492847235860173,0.14623628126851881
1,Immigration,Democrat,103,Guess,-0.02941176470588244,0.10470493309227444,-0.23768316831683156,0.17475728155339812
1,Immigration,Democrat,103,Difference,-0.47354448283057843,0.31408714735703647,-1.09666689774772,0.1466050601159283
1,Immigration,Republican,73,Experiment,0.37136113296616857,0.4038434162513337,-0.4261920849420843,1.1524580792682924
1,Immigration,Republican,73,Guess,0.013888888888888867,0.15922683569445983,-0.2916666666666668,0.33333333333333337
1,Immigration,Republican,73,Difference,0.35747224407727973,0.3579139313920452,-0.35851461968660525,1.0362065366052526
1,Supports charters,Democrat,103,Experiment,0.009244992295839527,0.3659553376786493,-0.6988558911410803,0.7356253642191137
1,Supports charters,Democrat,103,Guess,-0.05825242718446605,0.08748792425125974,-0.23300970873786417,0.1067961165048544
1,Supports charters,Democrat,103,Difference,0.06749741948030558,0.3623192932509832,-0.6345812143627676,0.7817732957682235
1,Supports charters,Republican,73,Experiment,-1.0092165898617518,0.37933310413867327,-1.7488571356341105,-0.2697612438019419
1,Supports charters,Republican,73,Guess,-0.12328767123287666,0.137334361872434,-0.3972602739726027,0.1369863013698631
1,Supports charters,Republican,73,Difference,-0.8859289186288751,0.34558854734675354,-1.5646039151208633,-0.21028777012478572
1,Tax cuts,Democrat,103,Experiment,0.3492313756405201,0.3855632037476987,-0.4070797146401988,1.1041220965520842
1,Tax cuts,Democrat,103,Guess,0.1078431372549021,0.09825180639054926,-0.07999999999999995,0.3009708737864078
1,Tax cuts,Democrat,103,Difference,0.241388238385618,0.36262059072841135,-0.46555959704023125,0.9484054710836288
1,Tax cuts,Republican,73,Experiment,-0.4201416207710462,0.36061473551086726,-1.1274398735312043,0.26990945798296173
1,Tax cuts,Republican,73,Guess,0,0.11487871073730904,-0.22222222222222213,0.23287671232876705
1,Tax cuts,Republican,73,Difference,-0.4201416207710462,0.33620331239511203,-1.0865104277404853,0.21209200686486088
1,Undisputed accusation,Democrat,103,Experiment,-1.3646038628301138,0.3880891132743045,-2.113433019713262,-0.5992137909097333
1,Undisputed accusation,Democrat,103,Guess,-1.352941176470588,0.1799782223633433,-1.7156862745098038,-1.0097087378640779
