Study,Topic,Outcome,Party,N,Actual,Guess,Difference,p
2a,Trump Coal,Y0,Republican,693,4.151 (0.074),3.944 (0.073),-0.207 (0.104),0.048
2a,Trump Coal,Y1,Democrat,701,3.888 (0.105),4.519 (0.095),-0.631 (0.141),0.000
2a,Trump Coal,Y1,Republican,693,3.982 (0.074),4.114 (0.072),-0.132 (0.103),0.204
2b,Biden / Hill,Y0,Democrat,196,0.883 (0.033),0.843 (0.036),-0.040 (0.049),0.419
2b,Biden / Hill,Y0,Republican,209,0.318 (0.045),0.394 (0.049),0.076 (0.067),0.256
2b,Biden / Hill,Y1,Democrat,196,0.824 (0.038),0.755 (0.045),0.068 (0.059),0.245
2b,Biden / Hill,Y1,Republican,209,0.424 (0.050),0.373 (0.046),0.052 (0.068),0.450
2b,DREAM Act,Y0,Democrat,194,0.894 (0.032),0.840 (0.037),-0.054 (0.049),0.273
2b,DREAM Act,Y0,Republican,209,0.477 (0.048),0.510 (0.050),0.033 (0.070),0.636
2b,DREAM Act,Y1,Democrat,194,0.820 (0.039),0.904 (0.031),-0.084 (0.049),0.088
2b,DREAM Act,Y1,Republican,209,0.510 (0.050),0.495 (0.048),0.015 (0.070),0.834
2b,Obama Torture,Y0,Democrat,195,0.606 (0.051),0.822 (0.038),0.215 (0.063),0.001
2b,Obama Torture,Y0,Republican,209,0.450 (0.048),0.480 (0.050),0.030 (0.069),0.661
2b,Obama Torture,Y1,Democrat,195,0.861 (0.035),0.787 (0.042),0.074 (0.055),0.177
2b,Obama Torture,Y1,Republican,209,0.480 (0.050),0.495 (0.048),-0.015 (0.070),0.825
2b,Trump Coal,Y0,Democrat,196,0.872 (0.035),0.653 (0.048),-0.219 (0.059),0.000
2b,Trump Coal,Y0,Republican,210,0.618 (0.047),0.730 (0.045),0.112 (0.064),0.084
2b,Trump Coal,Y1,Democrat,196,0.578 (0.049),0.777 (0.043),-0.198 (0.065),0.003
2b,Trump Coal,Y1,Republican,210,0.680 (0.047),0.664 (0.045),0.016 (0.065),0.802
