study,topic,Topic,pid_3,format,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,category,Estimator,value,Party,Format,lab_outside
1,Death penalty,Death penalty,Democrat,Change,(Intercept),NA,0.06954637296657958,8.018999178581263,1.356821143430959e-10,NA,NA,50.999999999997264,(YC == 0), Same,More-less,0.5576923076923077,Democrat,Change,NA
1,Death penalty,Death penalty,Democrat,Change,(Intercept),NA,0.041280552327507575,2.3292771228202147,0.023842821605542835,NA,NA,50.999999999997264,(YC == 1), More,More-less,0.09615384615384616,Democrat,Change,NA
1,Death penalty,Death penalty,Democrat,Change,(Intercept),-0.25,0.08629721694870586,-2.896964801873012,0.005538781601154978,-0.4232488921696468,-0.07675110783035324,50.999999999997264,YC,  Diff,More-less,-0.25,Democrat,Change,-0.25 (0.09)
1,Death penalty,Death penalty,Democrat,Change + level,(Intercept),NA,0.06030226891555272,3.3166247903554007,0.00183322046841034,NA,NA,43.99999999999862,(YC == -1),Less,More-less,0.20000000000000004,Democrat,Change + level,NA
1,Death penalty,Death penalty,Democrat,Change + level,(Intercept),NA,0.06832943242540511,10.407098169407853,1.9235257580474685e-13,NA,NA,43.99999999999862,(YC == 0), Same,More-less,0.711111111111111,Democrat,Change + level,NA
1,Death penalty,Death penalty,Democrat,Change + level,(Intercept),NA,0.04290254662948546,2.071879081131249,0.04416972927524014,NA,NA,43.99999999999862,(YC == 1), More,More-less,0.08888888888888888,Democrat,Change + level,NA
1,Death penalty,Death penalty,Democrat,Change + level,(Intercept),-0.11111111111111113,0.07927845200140841,-1.4015297764534707,0.16807046347661744,-0.2708863326268461,0.04866411040462382,43.99999999999862,YC,  Diff,More-less,-0.11111111111111113,Democrat,Change + level,-0.11 (0.08)
1,Death penalty,Death penalty,Democrat,Counterfactual,(Intercept),NA,0.039309500219930994,1.7748239349298855,0.08317498687627321,NA,NA,41.999999999999616,(YC == -1),Less,More-less,0.06976744186046513,Democrat,Counterfactual,NA
1,Death penalty,Death penalty,Democrat,Counterfactual,(Intercept),NA,0.05346670079545209,16.093476939431085,1.4358722070356736e-19,NA,NA,41.999999999999616,(YC == 0), Same,More-less,0.86046511627907,Democrat,Counterfactual,NA
1,Death penalty,Death penalty,Democrat,Counterfactual,(Intercept),NA,0.039309500219931,1.7748239349298853,0.08317498687627321,NA,NA,41.999999999999616,(YC == 1), More,More-less,0.06976744186046513,Democrat,Counterfactual,NA
