topic,Topic,Party,format,level_question_first,estimate,std.error,conf.low,conf.high
"Blocked
whistleblower","Blocked
whistleblower",Democrat,Change,No,-0.22641509433962276,0.10989343510122465,-0.44693240478274915,-0.005897783896496367
"Blocked
whistleblower","Blocked
whistleblower",Democrat,Change + level,Yes,-0.3695652173913044,0.10475965431015188,-0.5805619921553673,-0.15856844262724148
"Blocked
whistleblower","Blocked
whistleblower",Republican,Change,No,-0.5675675675675677,0.09120926455548012,-0.7525485298463758,-0.38258660528875954
"Blocked
whistleblower","Blocked
whistleblower",Republican,Change + level,Yes,-0.3191489361702128,0.08659657428455231,-0.49345879942908755,-0.14483907291133805
Death penalty,"Death
penalty",Democrat,Change,No,-0.25,0.08629721694870586,-0.42324889216964656,-0.07675110783035347
Death penalty,"Death
penalty",Democrat,Change + level,Yes,-0.11111111111111113,0.07927845200140841,-0.27088633262684597,0.048664110404623706
Death penalty,"Death
penalty",Republican,Change,No,0.1621621621621622,0.09098653097623494,-0.022367075480761833,0.34669139980508623
Death penalty,"Death
penalty",Republican,Change + level,Yes,0.19148936170212766,0.08405923791336552,0.02228689165779299,0.36069183174646235
"Disputed
accusation","Disputed
accusation",Democrat,Change,No,-0.8490566037735852,0.056482695855704056,-0.9623974249537047,-0.7357157825934656
"Disputed
accusation","Disputed
accusation",Democrat,Change + level,Yes,-0.6086956521739131,0.07911503805191988,-0.7680415184257221,-0.4493497859221041
"Disputed
accusation","Disputed
accusation",Republican,Change,No,-0.05405405405405406,0.10922842930614539,-0.27557957626636476,0.16747146815825664
"Disputed
accusation","Disputed
accusation",Republican,Change + level,Yes,-0.29787234042553196,0.09081241717341383,-0.48066825528113183,-0.11507642556993208
Endorsed Trump,"Endorsed
Trump",Democrat,Change,No,-0.7358490566037739,0.07690938345133104,-0.8901790251856516,-0.5815190880218961
Endorsed Trump,"Endorsed
Trump",Democrat,Change + level,Yes,-0.7391304347826086,0.07246376811594202,-0.8850799557160033,-0.593180913849214
Endorsed Trump,"Endorsed
Trump",Republican,Change,No,0.5405405405405406,0.09950775691159695,0.33872945569710977,0.7423516253839714
Endorsed Trump,"Endorsed
Trump",Republican,Change + level,Yes,0.08510638297872344,0.1089423853453683,-0.1341832650187529,0.3043960309761998
Immigration,"Immigrant
population",Democrat,Change,No,0.057692307692307696,0.08861878607096782,-0.12021732896885833,0.2356019443534737
Immigration,"Immigrant
population",Democrat,Change + level,Yes,0.06666666666666667,0.08040302522073696,-0.09537498325039077,0.2287083165837241
Immigration,"Immigrant
population",Republican,Change,No,-0.35135135135135137,0.1110705225760176,-0.5766128118735364,-0.12608989082916636
Immigration,"Immigrant
population",Republican,Change + level,Yes,-0.14893617021276598,0.09607815295267066,-0.3423314614435045,0.04445912101797256
"Mueller
comments","Mueller
comments",Democrat,Change,No,0.48046875,0.04213626495789243,0.3974893580444276,0.5634481419555724
"Mueller
comments","Mueller
comments",Democrat,Change + level,Yes,0.2916666666666666,0.044105738085101945,0.2047810351857719,0.37855229814756125
"Mueller
comments","Mueller
comments",Republican,Change,No,-0.20833333333333337,0.049845903594208096,-0.30674265312619864,-0.10992401354046813
"Mueller
comments","Mueller
comments",Republican,Change + level,Yes,-0.14545454545454542,0.04882548485689742,-0.24186215348754359,-0.04904693742154724
"Supports
charters","Supports
charters",Democrat,Change,No,-0.22641509433962262,0.10654049780910725,-0.44020424387794943,-0.01262594480129578
"Supports
charters","Supports
charters",Democrat,Change + level,Yes,-0.2173913043478261,0.10728553926563332,-0.43347547256064733,-0.0013071361350049104
"Supports
charters","Supports
charters",Republican,Change,No,0.4054054054054055,0.11917798698489147,0.16370124495242086,0.6471095658583901
"Supports
charters","Supports
charters",Republican,Change + level,Yes,0.27659574468085113,0.09949980201438317,0.0763130311127447,0.4768784582489576
Tax cuts,"Tax Cuts and
Jobs Act",Democrat,Change,No,-0.4615384615384615,0.09694246735578531,-0.6561585856563088,-0.2669183374206142
Tax cuts,"Tax Cuts and
Jobs Act",Democrat,Change + level,Yes,-0.2444444444444444,0.09076307015852632,-0.42736539299890275,-0.06152349588998604
Tax cuts,"Tax Cuts and
Jobs Act",Republican,Change,No,0.7027027027027027,0.07617808344724218,0.5482063886571626,0.8571990167482428
Tax cuts,"Tax Cuts and
Jobs Act",Republican,Change + level,Yes,0.19148936170212771,0.08939253245534158,0.011551526546508428,0.371427196857747
"Undisputed
accusation","Undisputed
accusation",Democrat,Change,No,-0.7924528301886795,0.06235863877776731,-0.9175845934600821,-0.6673210669172769
"Undisputed
accusation","Undisputed
accusation",Democrat,Change + level,Yes,-0.6666666666666666,0.0778498944161523,-0.8235628195468506,-0.5097705137864826
"Undisputed
accusation","Undisputed
accusation",Republican,Change,No,-0.6756756756756758,0.09534238958791318,-0.8690390040380634,-0.4823123473132881
"Undisputed
accusation","Undisputed
accusation",Republican,Change + level,Yes,-0.5319148936170214,0.09546160228786515,-0.7240691327280621,-0.3397606545059807
