Study,Topic,Party,Format,Y1?,N,category,estimate_pct,se_pct
1,"Disputed
accusation",Democrat,Change,No,53,More,1.886792452830189,1.8867924528301887
1,"Disputed
accusation",Democrat,Change,No,53,Same,11.320754716981135,4.393868070601047
1,"Disputed
accusation",Democrat,Change + level,Yes,46,Diff,-60.86956521739131,7.911503805191988
1,"Disputed
accusation",Democrat,Change + level,Yes,46,Less,63.04347826086957,7.195473383945744
1,"Disputed
accusation",Democrat,Change + level,Yes,46,More,2.1739130434782608,2.173913043478261
1,"Disputed
accusation",Democrat,Change + level,Yes,46,Same,34.78260869565217,7.099970268936747
1,"Disputed
accusation",Independent,Change,No,13,Diff,-38.46153846153847,18.040060614705496
1,"Disputed
accusation",Independent,Change,No,13,Less,46.15384615384615,14.390989949130544
1,"Disputed
accusation",Independent,Change,No,13,More,7.6923076923076925,7.6923076923076925
1,"Disputed
accusation",Independent,Change,No,13,Same,46.15384615384615,14.390989949130544
1,"Disputed
accusation",Independent,Change + level,Yes,10,Diff,-40,22.11083193570267
1,"Disputed
accusation",Independent,Change + level,Yes,10,Less,50,16.666666666666668
1,"Disputed
accusation",Independent,Change + level,Yes,10,More,10,10
1,"Disputed
accusation",Independent,Change + level,Yes,10,Same,40,16.329931618554525
1,"Disputed
accusation",Republican,Change,No,37,Diff,-5.405405405405405,10.922842930614541
1,"Disputed
accusation",Republican,Change,No,37,Less,24.32432432432433,7.150679219093489
1,"Disputed
accusation",Republican,Change,No,37,More,18.91891891891892,6.5276471829682174
1,"Disputed
accusation",Republican,Change,No,37,Same,56.75675675675676,8.256893144064577
1,"Disputed
accusation",Republican,Change + level,Yes,47,Diff,-29.787234042553195,9.081241717341385
1,"Disputed
accusation",Republican,Change + level,Yes,47,Less,38.297872340425535,7.16734777251339
1,"Disputed
accusation",Republican,Change + level,Yes,47,More,8.51063829787234,4.114219418674763
1,"Disputed
accusation",Republican,Change + level,Yes,47,Same,53.19148936170214,7.357064625618348
