study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
2a,Senator opposed Kavanaugh,Democrat,CATE,Counterfactual,NA,NA,0.09411764705882354,0.05208945531594425,-0.008464593638988202,0.19669988775663527,0.09 (0.05)
2a,Senator opposed Kavanaugh,Republican,More-less,Counterfactual,  Diff,-0.014354066985645935,-0.014354066985645935,0.030694384474888956,-0.07486604036138744,0.04615790639009558,-0.01 (0.03)
2a,Senator opposed Kavanaugh,Republican,More-less,Counterfactual, More,0.09090909090909091,NA,0.019933136802432482,NA,NA,NA
2a,Senator opposed Kavanaugh,Republican,More-less,Counterfactual, Same,0.803827751196173,NA,0.027533956099266423,NA,NA,NA
2a,Senator opposed Kavanaugh,Republican,More-less,Counterfactual,Less,0.10526315789473686,NA,0.021279145791122098,NA,NA,NA
2a,Senator opposed Kavanaugh,Republican,More-less,Change,  Diff,-0.49777777777777776,-0.49777777777777776,0.04459893783188028,-0.5856649335228044,-0.40989062203275123,-0.50 (0.04)
2a,Senator opposed Kavanaugh,Republican,More-less,Change, More,0.09777777777777777,NA,0.019845078999435273,NA,NA,NA
2a,Senator opposed Kavanaugh,Republican,More-less,Change, Same,0.30666666666666664,NA,0.03080919260880345,NA,NA,NA
2a,Senator opposed Kavanaugh,Republican,More-less,Change,Less,0.5955555555555556,NA,0.03279189902971935,NA,NA,NA
2a,Senator opposed Kavanaugh,Republican,CATE,Counterfactual,NA,NA,0.019138755980861243,0.053820594134258576,-0.08696502863756722,0.12524254059928971,0.02 (0.05)
2a,Senator supported Kavanaugh,Democrat,More-less,Counterfactual,  Diff,-0.029126213592233014,-0.029126213592233014,0.04869574510177329,-0.12571399311378673,0.06746156592932069,-0.03 (0.05)
2a,Senator supported Kavanaugh,Democrat,More-less,Counterfactual, More,0.10679611650485439,NA,0.03058108892833134,NA,NA,NA
2a,Senator supported Kavanaugh,Democrat,More-less,Counterfactual, Same,0.7572815533980585,NA,0.042450224863844976,NA,NA,NA
2a,Senator supported Kavanaugh,Democrat,More-less,Counterfactual,Less,0.1359223300970874,NA,0.033932957297610096,NA,NA,NA
2a,Senator supported Kavanaugh,Democrat,More-less,Change,  Diff,-0.6842105263157895,-0.6842105263157895,0.05450203751132786,-0.7924255994240239,-0.5759954532075551,-0.68 (0.05)
