Study,Topic,Party,Y1?,N,More,Less,Same,Diff
2a,Biden / Hill,Democrat,No,332,12.7 (1.8),24.4 (2.4),63.0 (2.7),-11.7 (3.3)
2a,Biden / Hill,Independent,No,135,3.0 (1.5),14.1 (3.0),83.0 (3.2),-11.1 (3.4)
2a,Biden / Hill,Republican,No,355,8.2 (1.5),22.5 (2.2),69.3 (2.5),-14.4 (2.8)
2a,DREAM Act,Democrat,No,332,50.0 (2.7),7.8 (1.5),42.2 (2.7),42.2 (3.5)
2a,DREAM Act,Independent,No,135,29.6 (3.9),10.4 (2.6),60.0 (4.2),19.3 (5.2)
2a,DREAM Act,Republican,No,355,23.1 (2.2),26.2 (2.3),50.7 (2.7),-3.1 (3.7)
2a,Obama Torture,Democrat,No,332,43.1 (2.7),7.5 (1.5),49.4 (2.7),35.5 (3.4)
2a,Obama Torture,Independent,No,135,23.0 (3.6),11.9 (2.8),65.2 (4.1),11.1 (5.0)
2a,Obama Torture,Republican,No,356,18.3 (2.1),18.0 (2.0),63.8 (2.6),0.3 (3.2)
2a,Opposed Kav,Democrat,No,237,56.5 (3.2),11.4 (2.1),32.1 (3.0),45.1 (4.5)
2a,Opposed Kav,Independent,No,96,22.9 (4.3),15.6 (3.7),61.5 (5.0),7.3 (6.3)
2a,Opposed Kav,Republican,No,225,9.8 (2.0),59.6 (3.3),30.7 (3.1),-49.8 (4.5)
2a,Supported Kav,Democrat,No,95,3.2 (1.8),71.6 (4.7),25.3 (4.5),-68.4 (5.5)
2a,Supported Kav,Independent,No,39,7.7 (4.3),25.6 (7.1),66.7 (7.6),-17.9 (8.9)
2a,Supported Kav,Republican,No,130,51.5 (4.4),10.8 (2.7),37.7 (4.3),40.8 (6.0)
2a,Trump Coal,Democrat,No,332,30.1 (2.5),29.2 (2.5),40.7 (2.7),0.9 (4.2)
2a,Trump Coal,Independent,No,135,19.3 (3.4),15.6 (3.1),65.2 (4.1),3.7 (5.1)
2a,Trump Coal,Republican,No,356,25.8 (2.3),11.0 (1.7),63.2 (2.6),14.9 (3.1)
2b,Biden / Hill,Democrat,No,132,9.1 (2.5),17.4 (3.3),73.5 (3.9),-8.3 (4.4)
2b,Biden / Hill,Independent,No,49,-0.0 (0.0),20.4 (5.8),79.6 (5.8),-20.4 (5.8)
2b,Biden / Hill,Republican,No,108,11.1 (3.0),25.0 (4.2),63.9 (4.6),-13.9 (5.7)
2b,DREAM Act,Democrat,No,131,54.2 (4.4),6.1 (2.1),39.7 (4.3),48.1 (5.3)
2b,DREAM Act,Independent,No,49,22.4 (6.0),18.4 (5.6),59.2 (7.1),4.1 (9.2)
2b,DREAM Act,Republican,No,108,29.6 (4.4),34.3 (4.6),36.1 (4.6),-4.6 (7.7)
2b,Obama Torture,Democrat,No,131,55.0 (4.4),9.2 (2.5),35.9 (4.2),45.8 (5.8)
2b,Obama Torture,Independent,No,49,26.5 (6.4),16.3 (5.3),57.1 (7.1),10.2 (9.3)
2b,Obama Torture,Republican,No,108,25.0 (4.2),34.3 (4.6),40.7 (4.8),-9.3 (7.4)
2b,Trump Coal,Democrat,No,131,32.8 (4.1),36.6 (4.2),30.5 (4.0),-3.8 (7.3)
2b,Trump Coal,Independent,No,49,16.3 (5.3),26.5 (6.4),57.1 (7.1),-10.2 (9.3)
2b,Trump Coal,Republican,No,108,32.4 (4.5),16.7 (3.6),50.9 (4.8),15.7 (6.6)
3,"Mueller
comments",Democrat,No,256,58.2 (3.4),10.2 (1.9),31.6 (3.1),48.0 (4.5)
3,"Mueller
comments",Democrat,Yes,240,42.1 (3.4),12.9 (2.2),45.0 (3.4),29.2 (4.6)
3,"Mueller
comments",Independent,No,131,33.6 (4.3),16.8 (3.5),49.6 (4.6),16.8 (6.4)
3,"Mueller
comments",Independent,Yes,114,23.7 (4.0),14.0 (3.3),62.3 (4.6),9.6 (5.7)
3,"Mueller
comments",Republican,No,168,12.5 (2.9),33.3 (4.0),54.2 (4.2),-20.8 (5.5)
3,"Mueller
comments",Republican,Yes,165,13.3 (3.0),27.9 (3.7),58.8 (4.1),-14.5 (5.3)
