study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
1,Blocked whistleblower,Republican,More-less,Counterfactual, More,0.13698630136986303,NA,0.04052109440479189,NA,NA,NA
1,Blocked whistleblower,Republican,More-less,Counterfactual, Same,0.5753424657534248,NA,0.05825274348024235,NA,NA,NA
1,Blocked whistleblower,Republican,More-less,Counterfactual,Less,0.2876712328767124,NA,0.05334849975136038,NA,NA,NA
1,Blocked whistleblower,Republican,More-less,Change + level,  Diff,-0.3191489361702128,-0.3191489361702128,0.08659657428455231,-0.49345879942908766,-0.14483907291133793,-0.32 (0.09)
1,Blocked whistleblower,Republican,More-less,Change + level, More,0.06382978723404256,NA,0.03604210867489021,NA,NA,NA
1,Blocked whistleblower,Republican,More-less,Change + level, Same,0.5531914893617021,NA,0.07330262843906579,NA,NA,NA
1,Blocked whistleblower,Republican,More-less,Change + level,Less,0.3829787234042554,NA,0.0716734777251339,NA,NA,NA
1,Blocked whistleblower,Republican,More-less,Change,  Diff,-0.5675675675675677,-0.5675675675675677,0.09120926455548013,-0.752548529846376,-0.3825866052887593,-0.57 (0.09)
1,Blocked whistleblower,Republican,More-less,Change, More,0.02702702702702703,NA,0.02702702702702703,NA,NA,NA
1,Blocked whistleblower,Republican,More-less,Change, Same,0.3783783783783784,NA,0.08083044344561426,NA,NA,NA
1,Blocked whistleblower,Republican,More-less,Change,Less,0.5945945945945946,NA,0.08182838794858087,NA,NA,NA
1,Blocked whistleblower,Republican,CATE,Diff. in means,NA,NA,-0.37019969278033776,0.40894714108764524,-1.1856171325514773,0.4452177469908018,-0.37 (0.41)
1,Blocked whistleblower,Republican,CATE,Counterfactual,NA,NA,-0.3013698630136987,0.17737830684525147,-0.6549670552258776,0.052227329198480166,-0.30 (0.18)
1,Death penalty,Democrat,More-less,Counterfactual,  Diff,0.03921568627450981,0.03921568627450981,0.041617389523439324,-0.04334201958521675,0.12177339213423638,0.04 (0.04)
1,Death penalty,Democrat,More-less,Counterfactual, More,0.10784313725490198,NA,0.030864282122060153,NA,NA,NA
1,Death penalty,Democrat,More-less,Counterfactual, Same,0.8235294117647058,NA,0.03793281185307812,NA,NA,NA
1,Death penalty,Democrat,More-less,Counterfactual,Less,0.06862745098039216,NA,0.025156485287162595,NA,NA,NA
1,Death penalty,Democrat,More-less,Change + level,  Diff,-0.11111111111111113,-0.11111111111111113,0.07927845200140841,-0.2708863326268461,0.04866411040462382,-0.11 (0.08)
1,Death penalty,Democrat,More-less,Change + level, More,0.08888888888888888,NA,0.04290254662948546,NA,NA,NA
