topic,Topic,Party,estimate,std.error,conf.low,conf.high,p.value,df
"Blocked
whistleblower","Blocked
whistleblower",Democrat,-0.14315012305168168,0.15182605919119943,-0.4444828229695868,0.15818257686622345,0.3480969401012971,97
"Blocked
whistleblower","Blocked
whistleblower",Independent,-0.22857142857142856,0.22452927677183174,-0.6942166486244994,0.23707379148164223,0.3197419049811387,22
"Blocked
whistleblower","Blocked
whistleblower",Republican,0.2484186313973545,0.12577001478322059,-0.0017779929422472585,0.4986152557369563,0.051612084380746284,82
Death penalty,"Death
penalty",Democrat,0.13888888888888895,0.11718482241669197,-0.09375239740946234,0.37153017518724024,0.2388898645326572,95
Death penalty,"Death
penalty",Independent,0.13333333333333336,0.24120907566221092,-0.3698199816468249,0.6364866483134917,0.5865461999578926,20
Death penalty,"Death
penalty",Republican,0.02932719953996533,0.12387293609850836,-0.21709553096779016,0.2757499300477208,0.8134394148572982,82
"Disputed
accusation","Disputed
accusation",Democrat,0.2403609515996718,0.09720845733311835,0.047429072453980675,0.43329283074536296,0.015152543220568158,97
"Disputed
accusation","Disputed
accusation",Independent,-0.015384615384615379,0.2853651478143639,-0.6088339275821273,0.5780646968128966,0.9575148450949145,21
"Disputed
accusation","Disputed
accusation",Republican,-0.24381828637147776,0.14204838922552315,-0.5263977830691697,0.038761210326214185,0.08985613997853652,82
Endorsed Trump,"Endorsed
Trump",Democrat,-0.0032813781788351183,0.10566953653927366,-0.21300615740368348,0.20644340104601325,0.9752909109002811,97
Endorsed Trump,"Endorsed
Trump",Independent,0.08571428571428573,0.279142990865579,-0.493192845136018,0.6646214165645895,0.761683646179049,22
Endorsed Trump,"Endorsed
Trump",Republican,-0.45543415756181665,0.1475474059762359,-0.7489529503277064,-0.161915364795927,0.00276053422599848,82
Immigration,"Immigrant
population",Democrat,0.008974358974359014,0.119657576898993,-0.22857596564140312,0.24652468359012117,0.940372148903318,95
Immigration,"Immigrant
population",Independent,-0.08333333333333336,0.257954267342884,-0.6214165060768362,0.45474983941016944,0.7500070868399801,20
Immigration,"Immigrant
population",Republican,0.20241518113858512,0.1468593628615704,-0.08973487469119043,0.49456523696836063,0.17186208734392158,82
"Mueller
comments","Mueller
comments",Democrat,-0.18880208333333312,0.06099820453614454,-0.3086499977957312,-0.06895416887093501,0.002078359856367717,494
"Mueller
comments","Mueller
comments",Independent,-0.0714477032275346,0.08315143174898719,-0.2352372644297642,0.09234185797469499,0.3910505286844278,243
"Mueller
comments","Mueller
comments",Republican,0.0628787878787878,0.06977493874332098,-0.07437945731256772,0.2001370330701433,0.3681554000496279,331
"Supports
charters","Supports
charters",Democrat,0.00902378999179662,0.15119875862231852,-0.2910638919424508,0.309111471926044,0.9525319809168822,97
"Supports
charters","Supports
charters",Independent,0.028571428571428546,0.2435206049117214,-0.47645939543468735,0.5336022525775445,0.9076658497998447,22
"Supports
charters","Supports
charters",Republican,-0.12880966072455416,0.15525335159883794,-0.4376580341177714,0.1800387126686631,0.40913200390039905,82
Tax cuts,"Tax Cuts and
Jobs Act",Democrat,0.21709401709401713,0.13279976235531848,-0.04654684438717052,0.4807348785752048,0.1054115885366592,95
Tax cuts,"Tax Cuts and
Jobs Act",Independent,-0.1666666666666667,0.33105280484532923,-0.8572307166888633,0.5238973833555298,0.6201517959688596,20
Tax cuts,"Tax Cuts and
Jobs Act",Republican,-0.5112133410005747,0.11744839401402758,-0.7448556107185677,-0.27757107128258174,3.851955439814346e-5,82
"Undisputed
accusation","Undisputed
accusation",Democrat,0.12578616352201263,0.09974570612724194,-0.07220749828229203,0.3237798253263173,0.2103402185434348,96
"Undisputed
accusation","Undisputed
accusation",Independent,-0.41538461538461535,0.25128205128205133,-0.9379542481623402,0.10718501739310948,0.11319165187987651,21
"Undisputed
accusation","Undisputed
accusation",Republican,0.1437607820586541,0.1349188228665665,-0.12463573597682875,0.412157300094137,0.28976112641907936,82
